#PS#PS_pos#PS_nag
PRM1#5.6989813#0.5000118#0.0
KLRF1#5.6989813#0.5000121#0.0
TRIM31#5.6989813#0.50001174#0.0
AIG1#5.6989813#0.50001174#0.0
SUCLA2#5.6989813#0.50001174#0.0
MED18#5.6989813#0.5000121#0.0
C5orf24#5.6989813#0.50001174#0.0
C12orf76#5.6989813#0.50001174#0.0
PCYT1B#5.6989813#0.5000123#0.0
ACBD7#5.6989813#0.5000121#0.0
SERPINF2#5.698981#0.5000113#0.0
CEBPB#5.698981#0.5000113#0.0
RPL36A#5.698981#0.5000113#0.0
RPL36A-HNRNPH2#5.698981#0.5000113#0.0
PKIG#5.698981#0.5000113#0.0
RNF146#5.698981#0.5000113#0.0
MBLAC2#5.698981#0.5000113#0.0
OR4C3#5.698981#0.50001144#0.0
USP46#5.698981#0.5000113#0.0
PFDN2#5.698981#0.50001127#0.0
H2AFV#5.698981#0.50001144#0.0
UBE2B#5.698981#0.5000114#0.0
RAB1B#5.698981#0.50001127#0.0
C5orf66#5.698981#0.50001127#0.0
CTNNBIP1#5.6989803#0.5000111#0.0
ACOT6#5.6989803#0.50001085#0.0
COPS2#5.6989803#0.50001085#0.0
TEX48#5.6989803#0.5000111#0.0
YWHAZ#5.6989803#0.5000111#0.0
ABHD17C#5.6989803#0.5000111#0.0
MOB3C#5.69898#0.5000105#0.0
