#VSD+#VSD+_pos#VSD+_nag
PRR20G#5.699004#0.50003827#0.0
KRTAP22-2#5.699004#0.50003856#0.0
CAPNS2#5.699003#0.5000375#0.0
NNAT#5.6990023#0.5000363#0.0
SPRR2F#5.698984#0.50001544#0.0
SNX24#5.698984#0.50001544#0.0
CRABP2#5.6989822#0.5000133#0.0
STK38L#5.6989822#0.5000133#0.0
NDUFB4#5.6989822#0.5000133#0.0
MEIG1#5.6989813#0.5000119#0.0
DEFA5#5.6989813#0.5000123#0.0
TXNDC8#5.6989813#0.5000118#0.0
MRPL51#5.6989813#0.5000118#0.0
FAM168A#5.6989813#0.5000121#0.0
HIST1H2AI#5.6989813#0.50001204#0.0
SHTN1#5.6989813#0.50001186#0.0
Mar_05#5.6989813#0.50001204#0.0
ZC4H2#5.6989813#0.50001204#0.0
MTRNR2L9#5.6989813#0.50001186#0.0
HSBP1#5.6989813#0.50001204#0.0
CRCP#5.6989813#0.5000122#0.0
ERH#5.6989813#0.5000118#0.0
DDA1#5.6989813#0.5000122#0.0
ARF4#5.6989813#0.5000122#0.0
MAFB#5.6989813#0.50001204#0.0
RAB3A#5.6989813#0.5000122#0.0
TENT5D#5.698981#0.50001144#0.0
LSM5#5.698981#0.50001144#0.0
LHFPL1#5.698981#0.50001144#0.0
MRPS36#5.698981#0.50001127#0.0
VMAC#5.698981#0.50001144#0.0
ACACA#5.698981#0.50001144#0.0
NPY4R#5.698981#0.50001127#0.0
INSIG2#5.698981#0.50001144#0.0
MAP3K8#5.698981#0.50001144#0.0
TMEM150B#5.698981#0.50001127#0.0
KRT34#5.698981#0.50001127#0.0
BOLA3#5.698981#0.50001144#0.0
SPIN3#5.698981#0.50001144#0.0
CPEB4#5.6989803#0.5000107#0.0
HMSD#5.6989803#0.50001097#0.0
PDPK1#5.6989803#0.50001115#0.0
TMEM155#5.6989803#0.50001115#0.0
IGFBP1#5.6989803#0.50001115#0.0
TMUB1#5.6989803#0.50001115#0.0
NXT1#5.6989803#0.50001115#0.0
C11orf52#5.6989803#0.5000107#0.0
TSPEAR-AS1#5.6989803#0.5000107#0.0
RAB33A#5.6989803#0.5000107#0.0
