#房室瓣#房室瓣_pos#房室瓣_nag
PPTC7#5.6989803#0.50001085#0.0
ZNF275#5.698976#0.50000584#0.0
CXCL1#5.698976#0.500006#0.0
OR13C2#5.698976#0.50000596#0.0
STK4#5.698976#0.5000059#0.0
PIAS1#5.698976#0.50000596#0.0
FKBP14#5.698976#0.5000061#0.0
C1orf52#5.698976#0.50000596#0.0
VHLL#5.698976#0.50000584#0.0
NUP62CL#5.6989717#0.5000008#0.0
MRPL14#5.6989717#0.5000008#0.0
OTOS#5.6989717#0.5000008#0.0
TRAPPC6B#5.6989717#0.5000008#0.0
ARL15#5.6989717#0.5000008#0.0
MRPL48#5.6989717#0.5000008#0.0
MAX#5.6989717#0.50000083#0.0
MAP7D2#5.6989713#0.5000007#0.0
KRTAP19-8#5.6989713#0.50000066#0.0
EMP3#5.6989713#0.50000066#0.0
DEFB128#5.6989713#0.5000006#0.0
UBTD2#5.6989713#0.5000006#0.0
DESI1#5.6989713#0.50000066#0.0
KRBOX1#5.6989713#0.50000066#0.0
RAB9B#5.6989713#0.5000007#0.0
RASD1#5.6989713#0.50000066#0.0
ZBTB2#5.6989713#0.5000007#0.0
IMMP1L#5.6989713#0.5000006#0.0
MED19#5.6989713#0.50000066#0.0
AGR2#5.6989713#0.5000006#0.0
CALCB#5.6989713#0.50000066#0.0
SPSB4#5.6989713#0.5000007#0.0
PAGE5#5.6989713#0.5000006#0.0
SHISAL2B#5.6989713#0.5000006#0.0
ATP6AP1#5.6989713#0.5000007#0.0
DNAJB4#5.6989713#0.50000066#0.0
HIST1H2BJ#5.6989713#0.5000007#0.0
PPM1G#5.6989713#0.5000007#0.0
PDK1#5.6989713#0.5000007#0.0
DAP#5.6989713#0.5000006#0.0
KCNE1#5.6989713#0.5000007#0.0
B3GNT2#5.6989713#0.50000066#0.0
SAMD5#5.6989713#0.5000007#0.0
ATP5MG#5.6989713#0.5000007#0.0
TRMT2B#5.6989713#0.5000007#0.0
PAX1#5.6989713#0.50000066#0.0
CENPM#5.6989713#0.5000007#0.0
C17orf67#5.6989713#0.5000007#0.0
Mar_03#5.6989713#0.50000066#0.0
SPDYE16#5.6989713#0.5000007#0.0
UBE2E3#5.698966#0.49999434#0.0
MRPL35#5.6989655#0.49999377#0.0
SRGAP2C#5.6989655#0.49999386#0.0
CDKN2D#5.6989655#0.49999368#0.0
AIG1#5.6989655#0.49999374#0.0
GNG2#5.6989655#0.49999368#0.0
EIF5AL1#5.6989655#0.49999368#0.0
PIP4P2#5.6989655#0.49999368#0.0
TGFB2#5.6989655#0.49999368#0.0
CACYBP#5.6989655#0.49999368#0.0
DRD1#5.6989655#0.49999377#0.0
REEP2#5.6989655#0.49999374#0.0
TMEM115#5.6989655#0.4999938#0.0
METTL9#5.6989655#0.4999937#0.0
PSMA4#5.6989655#0.49999368#0.0
RAB5B#5.6989655#0.4999937#0.0
ANAPC16#5.6989655#0.4999937#0.0
SS18#5.6989655#0.49999368#0.0
GOLGA8J#5.6989655#0.49999374#0.0
HMGN3#5.6989655#0.49999374#0.0
BAG5#5.6989655#0.4999939#0.0
FOSL2#5.6989655#0.49999368#0.0
BCL2L15#5.6989655#0.49999377#0.0
APOLD1#5.6989655#0.49999374#0.0
PKIG#5.6989655#0.4999937#0.0
SUCLA2#5.6989655#0.49999377#0.0
PFDN2#5.6989655#0.4999937#0.0
DYNLT1#5.6989655#0.49999374#0.0
CDPF1#5.6989655#0.4999937#0.0
MZF1-AS1#5.6989655#0.4999937#0.0
SRGAP2B#5.6989655#0.4999938#0.0
CFP#5.6989655#0.49999365#0.0
GRAP#5.6989655#0.49999377#0.0
CXorf21#5.6989655#0.49999374#0.0
CYP21A2#5.6989655#0.49999377#0.0
TMEM219#5.6989655#0.4999937#0.0
SPDYE2#5.6989655#0.4999937#0.0
ZNF22#5.6989655#0.4999937#0.0
CCL19#5.6989655#0.4999937#0.0
ACTL6B#5.6989655#0.4999937#0.0
DUSP7#5.6989655#0.4999937#0.0
FAM72B#5.6989655#0.4999937#0.0
TMPO-AS1#5.6989655#0.49999377#0.0
SPDYE2B#5.6989655#0.4999937#0.0
TFF3#5.6989655#0.4999937#0.0
MAP1LC3B2#5.6989655#0.49999377#0.0
UBE2B#5.6989655#0.4999938#0.0
SNURF#5.6989655#0.49999374#0.0
CTSG#5.6989655#0.4999939#0.0
GPHA2#5.6989655#0.49999368#0.0
RNF146#5.6989655#0.4999937#0.0
MBLAC2#5.6989655#0.4999937#0.0
TMEM56-RWDD3#5.6989655#0.4999937#0.0
