#半月瓣#半月瓣_pos#半月瓣_nag
DGLUCY#5.6989946#0.50002736#0.0
DTX1#5.698985#0.5000163#0.0
RRM1#5.698982#0.5000125#0.0
ADCYAP1R1#5.6989803#0.5000106#0.0
SPAST#5.6989784#0.5000087#0.0
LRRC47#5.6989784#0.5000087#0.0
ABHD11#5.6989784#0.50000864#0.0
PSAT1#5.6989784#0.50000876#0.0
QRFP#5.6989784#0.5000087#0.0
PTCD2#5.6989784#0.5000087#0.0
GINS3#5.6989784#0.5000087#0.0
C11orf94#5.6989784#0.5000087#0.0
NPY2R#5.6989784#0.5000087#0.0
CSRNP3#5.698977#0.5000068#0.0
PQLC2#5.698977#0.5000068#0.0
CENPW#5.698977#0.5000068#0.0
FN3KRP#5.6989765#0.50000674#0.0
PLEKHA2#5.6989765#0.50000674#0.0
WDR24#5.698975#0.5000048#0.0
CREBRF#5.698975#0.5000049#0.0
LRG1#5.698975#0.5000048#0.0
SDHB#5.698975#0.5000048#0.0
PDZD4#5.698975#0.5000048#0.0
RIMS3#5.698975#0.5000048#0.0
NHEJ1#5.698975#0.5000048#0.0
TM7SF3#5.698975#0.5000048#0.0
SPATA2#5.698975#0.5000048#0.0
Sep_03#5.698975#0.5000049#0.0
CYB5R1#5.698975#0.50000477#0.0
TNMD#5.698975#0.5000048#0.0
BCL2L2-PABPN1#5.698975#0.5000048#0.0
GUCY1A2#5.698975#0.50000477#0.0
CRP#5.698975#0.5000048#0.0
EYA3#5.698975#0.5000048#0.0
RSPO1#5.698975#0.5000048#0.0
ZNF689#5.698973#0.5000028#0.0
TM9SF1#5.698973#0.50000286#0.0
DCUN1D4#5.698973#0.50000286#0.0
SPATA8#5.698973#0.5000028#0.0
CTSF#5.698973#0.50000286#0.0
KCNF1#5.698973#0.50000286#0.0
CTAGE6#5.698973#0.5000028#0.0
LAP3#5.698973#0.5000028#0.0
SOX11#5.698973#0.5000028#0.0
FUOM#5.698973#0.5000028#0.0
LRRC4B#5.698973#0.50000274#0.0
HMGA2#5.698973#0.50000286#0.0
FAM162B#5.698973#0.50000286#0.0
NAP1L3#5.698973#0.5000028#0.0
CD79B#5.698973#0.5000028#0.0
OR1J2#5.698973#0.50000286#0.0
MBD3L1#5.698973#0.5000028#0.0
RUNDC1#5.698973#0.5000028#0.0
ANXA2R#5.698973#0.5000028#0.0
GLOD5#5.698973#0.5000028#0.0
CDC42EP2#5.698973#0.5000028#0.0
CD86#5.698973#0.50000286#0.0
RAB25#5.698973#0.50000286#0.0
FAAP24#5.698973#0.50000286#0.0
PEX5L#5.698973#0.5000028#0.0
CDH7#5.698973#0.50000286#0.0
CELF6#5.698973#0.50000286#0.0
DUSP1#5.698973#0.50000286#0.0
TGFB3#5.698973#0.5000028#0.0
VTCN1#5.698973#0.50000286#0.0
IQCK#5.6989717#0.5000008#0.0
PORCN#5.6989717#0.5000008#0.0
VASH1#5.6989717#0.5000008#0.0
GTF2I#5.6989717#0.5000008#0.0
MAP1LC3B#5.6989717#0.5000008#0.0
NUDT16#5.6989717#0.5000008#0.0
CYP27C1#5.6989717#0.5000008#0.0
SPINT2#5.6989717#0.5000008#0.0
NR4A3#5.6989717#0.5000008#0.0
EIF2D#5.6989717#0.5000008#0.0
SLC16A12#5.6989717#0.50000083#0.0
DIRAS3#5.6989717#0.5000008#0.0
CASC10#5.6989717#0.5000008#0.0
DCUN1D1#5.6989717#0.5000008#0.0
PFN4#5.6989717#0.5000008#0.0
IL17B#5.6989717#0.5000008#0.0
GNPDA1#5.6989717#0.5000008#0.0
NCR3LG1#5.6989717#0.5000008#0.0
ZNF697#5.6989717#0.5000008#0.0
SPATA31D3#5.6989717#0.5000009#0.0
CHIC1#5.6989717#0.5000008#0.0
CORO2B#5.6989717#0.5000008#0.0
ELK1#5.6989713#0.5000007#0.0
TSPAN9#5.6989713#0.5000007#0.0
GPR61#5.6989713#0.5000007#0.0
NAXE#5.6989713#0.5000007#0.0
OR8H3#5.6989713#0.5000007#0.0
CXCL12#5.6989713#0.5000007#0.0
FAM43A#5.6989713#0.5000007#0.0
HARBI1#5.6989713#0.50000066#0.0
CYP39A1#5.6989713#0.5000007#0.0
CCDC6#5.6989713#0.5000007#0.0
NAIF1#5.6989713#0.5000007#0.0
SERPINB1#5.6989713#0.5000007#0.0
SYT3#5.6989713#0.5000007#0.0
NPTN#5.6989713#0.5000007#0.0
PHF8#5.6989713#0.5000007#0.0
P2RY6#5.6989713#0.5000007#0.0
TMEM64#5.6989713#0.5000007#0.0
HBM#5.6989713#0.5000007#0.0
FAM20B#5.6989713#0.5000007#0.0
HOXC6#5.6989713#0.5000007#0.0
TMEM30A#5.6989713#0.5000007#0.0
PFDN5#5.6989713#0.5000007#0.0
OR51M1#5.6989713#0.5000007#0.0
OTUB1#5.6989713#0.5000007#0.0
CRYAB#5.6989713#0.5000007#0.0
HERC3#5.6989713#0.5000007#0.0
SMPX#5.6989713#0.5000007#0.0
TMEM245#5.6989713#0.5000007#0.0
SIGLECL1#5.6989713#0.5000007#0.0
HNRNPU#5.6989713#0.5000007#0.0
OR5H2#5.6989713#0.5000007#0.0
CELF1#5.6989713#0.5000007#0.0
SZRD1#5.69897#0.4999985#0.0
TCAP#5.69897#0.4999985#0.0
PCGF1#5.69897#0.4999985#0.0
GTF3C2#5.69897#0.49999854#0.0
ACTR6#5.69897#0.4999985#0.0
