#流出道大动脉水平#流出道大动脉水平_pos#流出道大动脉水平_nag
CNKSR3#5.698985#0.50001645#0.0
SLC35F4#5.6989837#0.50001484#0.0
FAM162A#5.6989822#0.50001323#0.0
RASGEF1A#5.698981#0.5000117#0.0
RTKN#5.698981#0.5000117#0.0
LYZL4#5.6989794#0.50001#0.0
FAM177A1#5.6989784#0.50000846#0.0
EWSR1#5.6989784#0.5000085#0.0
MIA#5.6989784#0.50000846#0.0
CRLS1#5.698978#0.5000084#0.0
FBXL2#5.698977#0.5000068#0.0
PCID2#5.698977#0.5000068#0.0
GLE1#5.698977#0.5000068#0.0
GLRA3#5.698977#0.5000068#0.0
ARHGAP1#5.698977#0.5000068#0.0
EFEMP2#5.6989765#0.50000674#0.0
RTL5#5.6989765#0.50000674#0.0
GSTK1#5.6989765#0.50000674#0.0
ZNF688#5.6989765#0.50000674#0.0
MDM2#5.6989756#0.5000051#0.0
ARG2#5.6989756#0.5000051#0.0
F11R#5.698975#0.500005#0.0
MCCC2#5.698975#0.50000507#0.0
TSGA13#5.698975#0.50000507#0.0
CTPS1#5.698975#0.50000507#0.0
MRPS35#5.698975#0.50000507#0.0
CSRNP3#5.698975#0.50000507#0.0
CRADD#5.698975#0.500005#0.0
PRG3#5.698975#0.500005#0.0
IFNA8#5.698975#0.50000507#0.0
ALDOA#5.698975#0.50000507#0.0
RNF114#5.698975#0.500005#0.0
RPS2#5.698975#0.50000507#0.0
ADPRHL2#5.698975#0.500005#0.0
DBX2#5.698975#0.50000507#0.0
OR52Z1#5.698975#0.500005#0.0
SOCS5#5.698975#0.500005#0.0
HMGB1#5.698975#0.50000507#0.0
PSMD13#5.698975#0.500005#0.0
RNASE10#5.698975#0.500005#0.0
GRINA#5.698975#0.500005#0.0
CCHCR1#5.698975#0.50000507#0.0
GJE1#5.698975#0.500005#0.0
TMEM140#5.698975#0.50000507#0.0
TSEN15#5.6989737#0.50000334#0.0
GNB2#5.6989737#0.5000034#0.0
SLITRK2#5.6989737#0.5000034#0.0
HM13#5.6989737#0.5000034#0.0
ADK#5.6989737#0.50000346#0.0
ACVR2B#5.6989737#0.5000034#0.0
TBC1D13#5.6989737#0.50000334#0.0
HIST1H2AB#5.6989737#0.5000034#0.0
CDK9#5.6989737#0.5000034#0.0
ZNF567#5.6989737#0.5000034#0.0
TMEM42#5.6989737#0.5000033#0.0
PPP1R12A#5.6989737#0.50000334#0.0
LRG1#5.6989737#0.50000334#0.0
SGMS2#5.6989737#0.5000034#0.0
NAA38#5.6989737#0.50000334#0.0
SPATA2#5.6989737#0.5000034#0.0
PSMB1#5.6989737#0.50000334#0.0
ZNF543#5.6989737#0.50000334#0.0
OR1N2#5.6989737#0.5000034#0.0
RSPO1#5.6989737#0.5000034#0.0
RCE1#5.6989737#0.50000334#0.0
OR5B21#5.6989737#0.5000034#0.0
GPR18#5.6989737#0.50000334#0.0
ATP6V1A#5.6989737#0.50000334#0.0
OR2K2#5.6989737#0.5000034#0.0
HIST1H2BB#5.6989737#0.50000334#0.0
OOSP2#5.6989737#0.50000334#0.0
TM7SF3#5.6989737#0.5000034#0.0
CYB5R1#5.6989737#0.50000334#0.0
FOXG1#5.698972#0.5000016#0.0
FKBP11#5.698972#0.50000167#0.0
CTHRC1#5.698972#0.50000167#0.0
CELF6#5.698972#0.5000016#0.0
YARS2#5.698972#0.50000155#0.0
SNTG1#5.698972#0.5000016#0.0
UBALD2#5.698972#0.5000016#0.0
HAUS4#5.698972#0.50000155#0.0
NDUFAF3#5.698972#0.5000016#0.0
PPDPF#5.698972#0.50000155#0.0
ARG1#5.698972#0.5000016#0.0
HIBCH#5.698972#0.5000016#0.0
C4orf17#5.698972#0.5000016#0.0
MINPP1#5.698972#0.5000016#0.0
SOX11#5.698972#0.50000155#0.0
AP2B1#5.698972#0.5000016#0.0
RBP1#5.698972#0.5000016#0.0
SKA2#5.698972#0.5000016#0.0
DUSP1#5.698972#0.5000016#0.0
C16orf97#5.698972#0.5000016#0.0
BCL2L10#5.698972#0.50000167#0.0
FNDC5#5.698972#0.50000155#0.0
FUOM#5.698972#0.5000016#0.0
ZNF330#5.698972#0.5000016#0.0
DNAJC2#5.698972#0.5000016#0.0
CNFN#5.698972#0.5000016#0.0
DUSP19#5.698972#0.50000167#0.0
CD86#5.698972#0.5000016#0.0
ZNF580#5.698972#0.5000016#0.0
SPATA8#5.698972#0.5000016#0.0
AMOT#5.698972#0.5000016#0.0
MSMP#5.698972#0.5000016#0.0
LOC100506422#5.698972#0.5000016#0.0
TMEM126B#5.698972#0.5000016#0.0
PANX2#5.698972#0.5000016#0.0
TMEM192#5.698972#0.5000016#0.0
HTR5A#5.698972#0.5000016#0.0
SRC#5.698972#0.5000016#0.0
SLC25A1#5.698972#0.5000016#0.0
PHOSPHO1#5.698972#0.5000016#0.0
Sep_11#5.698972#0.50000167#0.0
IFI44L#5.698972#0.5000016#0.0
CBLL1#5.698972#0.50000155#0.0
CTAGE6#5.698972#0.5000016#0.0
SPINK14#5.698972#0.5000016#0.0
SLC7A10#5.698972#0.5000016#0.0
BEND5#5.698972#0.5000016#0.0
FOXD3#5.698972#0.5000016#0.0
RNF166#5.698972#0.5000016#0.0
TMEM189-UBE2V1#5.698972#0.5000016#0.0
DDX23#5.698972#0.50000167#0.0
FCAR#5.698972#0.5000016#0.0
NAMPT#5.698972#0.5000016#0.0
DPH5#5.698972#0.5000016#0.0
KRTAP20-1#5.698972#0.50000167#0.0
GPR87#5.698972#0.5000016#0.0
LBX1#5.698972#0.5000016#0.0
FGF17#5.698972#0.50000155#0.0
MAGED2#5.698972#0.5000016#0.0
HMGA2#5.698972#0.5000016#0.0
NADK2#5.698972#0.50000167#0.0
C1QTNF7#5.698972#0.5000016#0.0
SERPINB5#5.698972#0.5000016#0.0
FAIM#5.698972#0.50000167#0.0
NAA15#5.698972#0.50000167#0.0
MFNG#5.698972#0.5000016#0.0
OR1S1#5.698972#0.5000016#0.0
PQBP1#5.698972#0.5000016#0.0
TEAD3#5.698972#0.50000167#0.0
OR1J2#5.698972#0.5000016#0.0
ICA1L#5.698972#0.5000016#0.0
RNF115#5.698972#0.5000016#0.0
IL18#5.698971#0.49999985#0.0
OXSM#5.698971#0.49999973#0.0
MRPS24#5.698971#0.49999982#0.0
ZNF441#5.698971#0.49999982#0.0
CHIC1#5.698971#0.49999976#0.0
SPRY3#5.698971#0.49999982#0.0
NDUFB6#5.698971#0.49999982#0.0
GPR171#5.698971#0.49999982#0.0
MRPS34#5.698971#0.4999998#0.0
SENP3#5.698971#0.49999976#0.0
NKX2-6#5.698971#0.49999976#0.0
TGIF2#5.698971#0.4999998#0.0
SARAF#5.698971#0.49999985#0.0
GTF2I#5.698971#0.49999976#0.0
ZNF789#5.698971#0.49999976#0.0
SLC20A1#5.698971#0.4999998#0.0
PROX1#5.698971#0.4999998#0.0
TSPAN9#5.698971#0.49999976#0.0
TRPV6#5.698971#0.49999982#0.0
NR4A3#5.698971#0.4999998#0.0
TRMT10A#5.698971#0.49999982#0.0
ZNHIT1#5.698971#0.4999998#0.0
HDHD2#5.698971#0.4999998#0.0
RRAGC#5.698971#0.49999982#0.0
THAP12#5.698971#0.4999998#0.0
CBY3#5.698971#0.49999982#0.0
SMIM15#5.698971#0.49999976#0.0
GPX6#5.698971#0.49999988#0.0
RPLP1#5.698971#0.49999982#0.0
DNAJB11#5.698971#0.49999982#0.0
RNPC3#5.698971#0.4999999#0.0
C17orf47#5.698971#0.49999985#0.0
CSN3#5.698971#0.49999976#0.0
IGFL3#5.698971#0.4999998#0.0
RPS16#5.698971#0.4999998#0.0
TMEM30A#5.698971#0.4999998#0.0
RND2#5.698971#0.49999976#0.0
PFDN5#5.698971#0.4999998#0.0
PTEN#5.698971#0.49999976#0.0
ZNF436#5.698971#0.4999998#0.0
WNT5A#5.698971#0.4999998#0.0
LDLRAP1#5.698971#0.49999976#0.0
STX17#5.698971#0.4999998#0.0
HERC3#5.698971#0.4999998#0.0
SPINT2#5.698971#0.4999998#0.0
CDC6#5.698971#0.4999998#0.0
FAM43A#5.698971#0.4999998#0.0
CSTA#5.698971#0.49999976#0.0
LOC101928042#5.698971#0.49999982#0.0
SNX22#5.698971#0.4999998#0.0
C4orf46#5.698971#0.49999976#0.0
PHF8#5.698971#0.49999976#0.0
NCR3LG1#5.698971#0.4999998#0.0
ABCE1#5.698971#0.49999976#0.0
TMEM189#5.698971#0.4999998#0.0
ASB9#5.698971#0.4999998#0.0
TMEM245#5.698971#0.4999998#0.0
IFT46#5.698971#0.4999998#0.0
ARC#5.698971#0.49999976#0.0
PAIP2B#5.698971#0.4999998#0.0
