#ASD+#ASD+_pos#ASD+_nag
SNRNP27#5.699094#0.5001418#0.0
HIST1H4H#5.6990848#0.50013137#0.0
HMHB1#5.6990795#0.50012517#0.0
ARPC5L#5.6990795#0.50012517#0.0
