#HLHS#HLHS_pos#HLHS_nag
UBTD2#5.6989894#0.50002104#0.0
KRTAP13-3#5.698975#0.50000477#0.0
FOXD4L3#5.6989746#0.50000435#0.0
APOC3#5.6989746#0.50000435#0.0
KRTAP9-3#5.6989746#0.50000435#0.0
FAM50A#5.6989746#0.50000453#0.0
SYPL1#5.6989746#0.5000041#0.0
TIMM9#5.6989746#0.50000435#0.0
OTX2#5.6989746#0.50000453#0.0
OR2A42#5.6989746#0.50000435#0.0
OR2A1#5.6989746#0.50000435#0.0
SRGAP2C#5.6989746#0.5000043#0.0
SRGAP2B#5.6989746#0.50000435#0.0
ADAT2#5.6989746#0.5000041#0.0
SREK1IP1#5.698974#0.50000364#0.0
PLPP2#5.698974#0.50000376#0.0
SPATA9#5.698974#0.5000039#0.0
RAB5B#5.698974#0.5000035#0.0
ANAPC16#5.698974#0.5000035#0.0
OTUD5#5.698974#0.5000039#0.0
LOC105376736#5.698974#0.500004#0.0
HLA-F#5.698974#0.5000035#0.0
SPOP#5.698974#0.50000364#0.0
LOC100289561#5.698974#0.5000037#0.0
BRS3#5.698974#0.5000039#0.0
PDZD11#5.698974#0.50000364#0.0
CDKN2D#5.698974#0.5000039#0.0
CHMP3#5.698974#0.500004#0.0
ZCCHC10#5.698974#0.500004#0.0
DEFB134#5.698974#0.500004#0.0
GNGT1#5.698974#0.50000364#0.0
HIST1H2BD#5.698974#0.50000364#0.0
TRPM1#5.698974#0.5000039#0.0
METTL9#5.698974#0.5000038#0.0
DCUN1D3#5.698974#0.50000393#0.0
TMPO-AS1#5.698974#0.5000037#0.0
SDF2#5.698974#0.50000364#0.0
H3.Y#5.6989737#0.5000034#0.0
SSU72#5.6989737#0.5000034#0.0
ESM1#5.6989737#0.5000034#0.0
GPHA2#5.6989737#0.50000316#0.0
PSMA4#5.6989737#0.50000316#0.0
MSL1#5.6989737#0.5000034#0.0
PYDC2#5.6989737#0.5000034#0.0
CALM2#5.6989737#0.5000033#0.0
ZFP92#5.6989737#0.5000033#0.0
FAM199X#5.6989737#0.50000346#0.0
FXYD2#5.6989737#0.5000034#0.0
YPEL1#5.6989737#0.5000034#0.0
