#冠脉#冠脉_pos#冠脉_nag
C17orf50#5.699012#0.500047#0.0
DEFB113#5.699012#0.500047#0.0
TMEM262#5.699009#0.50004363#0.0
E2F6#5.699009#0.50004387#0.0
UBE2E2#5.699009#0.50004387#0.0
UCMA#5.699009#0.50004387#0.0
BANF2#5.699009#0.50004387#0.0
TSR2#5.699006#0.50004035#0.0
TAS2R43#5.6990056#0.50004005#0.0
PSMA6#5.6990056#0.5000402#0.0
WNT3A#5.6990056#0.5000402#0.0
SMIM12#5.6990056#0.5000402#0.0
NCDN#5.6990056#0.5000401#0.0
FAM237A#5.6990056#0.5000401#0.0
IFNGR2#5.6990056#0.50003994#0.0
PHRF1#5.6990056#0.5000402#0.0
KCNV1#5.6990056#0.50004#0.0
PATE4#5.6990056#0.50003994#0.0
CXorf56#5.6990056#0.5000402#0.0
LHFPL6#5.6990056#0.50003994#0.0
