#主动脉弓#主动脉弓_pos#主动脉弓_nag
WDR26#5.698978#0.5000083#0.0
TACR1#5.698978#0.50000817#0.0
OLIG1#5.698978#0.5000082#0.0
TAS2R3#5.698978#0.50000817#0.0
TCAIM#5.6989746#0.50000405#0.0
CTDNEP1#5.6989746#0.50000405#0.0
SDC2#5.6989746#0.5000041#0.0
HIKESHI#5.6989746#0.50000405#0.0
RHBDL2#5.6989746#0.50000405#0.0
RAB3D#5.6989746#0.50000405#0.0
OPN5#5.698974#0.50000393#0.0
C12orf74#5.698974#0.50000393#0.0
KHDC1L#5.698974#0.5000039#0.0
LOC388813#5.698974#0.500004#0.0
IL1A#5.698974#0.500004#0.0
CLDN11#5.698974#0.500004#0.0
TOMM5#5.698974#0.500004#0.0
THEM6#5.698974#0.500004#0.0
TUBB6#5.6989703#0.49999934#0.0
C11orf58#5.6989703#0.49999946#0.0
UBTD2#5.6989703#0.49999937#0.0
FGF4#5.6989703#0.4999994#0.0
GADD45B#5.6989703#0.49999946#0.0
KCTD10#5.6989703#0.4999995#0.0
CPSF6#5.6989703#0.49999934#0.0
MCIDAS#5.6989703#0.49999943#0.0
C17orf49#5.6989703#0.49999943#0.0
ZNF428#5.6989703#0.49999946#0.0
KLHL20#5.6989703#0.49999943#0.0
ISL1#5.6989703#0.49999943#0.0
TTC32#5.6989703#0.4999995#0.0
FGF8#5.6989703#0.49999937#0.0
ZNF121#5.6989703#0.4999994#0.0
BST2#5.6989703#0.49999946#0.0
IMPACT#5.6989703#0.49999934#0.0
POMC#5.6989703#0.4999994#0.0
SUMF1#5.6989703#0.49999943#0.0
VMA21#5.6989703#0.49999937#0.0
TCF19#5.6989703#0.49999943#0.0
UBE2E1#5.6989703#0.4999994#0.0
ZNF32#5.6989703#0.49999946#0.0
ELP6#5.6989703#0.49999937#0.0
NPVF#5.6989703#0.49999943#0.0
FERD3L#5.6989703#0.4999994#0.0
THOC7#5.6989703#0.4999995#0.0
C15orf56#5.6989703#0.49999943#0.0
SNN#5.6989703#0.49999943#0.0
SPEF1#5.6989703#0.49999934#0.0
PPIL3#5.6989703#0.4999995#0.0
COX6B2#5.6989703#0.49999937#0.0
TMED5#5.6989703#0.4999994#0.0
