#TAPVC#TAPVC_pos#TAPVC_nag
TEX12#5.6990075#0.50004214#0.0
ATAD1#5.699006#0.5000403#0.0
GIMAP1#5.699006#0.5000403#0.0
ENTPD1-AS1#5.699006#0.5000403#0.0
RBP5#5.699006#0.5000406#0.0
BAG5#5.699006#0.5000403#0.0
IHH#5.699006#0.5000406#0.0
CTSG#5.699006#0.5000403#0.0
MAFK#5.699006#0.5000403#0.0
CXorf21#5.699005#0.5000392#0.0
TMEM116#5.6990047#0.50003874#0.0
GABRA5#5.6990047#0.50003874#0.0
NLRP2B#5.6990037#0.50003755#0.0
HYPK#5.6990037#0.50003755#0.0
ITGB3BP#5.6990037#0.50003755#0.0
SPIN1#5.6990037#0.50003797#0.0
RTL8B#5.6990037#0.50003797#0.0
IZUMO1#5.6990037#0.50003797#0.0
TSPO2#5.699003#0.50003695#0.0
