#导管弓#导管弓_pos#导管弓_nag
NEUROD6#5.6989875#0.5000189#0.0
GYPE#5.6989875#0.50001913#0.0
MYLIP#5.698987#0.5000185#0.0
CENPS#5.6989865#0.50001806#0.0
DDX3X#5.6989865#0.5000182#0.0
ARL13A#5.6989865#0.500018#0.0
UTP23#5.6989865#0.5000182#0.0
CRABP2#5.6989737#0.5000029#0.0
NDUFB4#5.6989737#0.5000029#0.0
STK38L#5.6989737#0.5000029#0.0
BANF2#5.698973#0.50000244#0.0
BAG5#5.698973#0.50000256#0.0
CTSG#5.698973#0.50000256#0.0
UBE2E2#5.698973#0.50000244#0.0
UCMA#5.698973#0.50000244#0.0
E2F6#5.698973#0.50000244#0.0
CRABP1#5.698973#0.50000244#0.0
STRAP#5.698973#0.50000244#0.0
MAP1LC3A#5.698973#0.50000244#0.0
OTX2#5.698973#0.5000027#0.0
TEX12#5.698973#0.5000027#0.0
NKRF#5.698973#0.5000026#0.0
FAM50A#5.698973#0.5000027#0.0
PLLP#5.698973#0.5000026#0.0
METTL14#5.6989727#0.500002#0.0
SLC52A3#5.6989727#0.500002#0.0
TVP23B#5.6989727#0.5000019#0.0
CXCR4#5.6989727#0.5000019#0.0
MAP3K8#5.6989727#0.5000021#0.0
JUN#5.6989727#0.500002#0.0
PTH#5.6989727#0.50000215#0.0
NDUFA4#5.6989727#0.5000021#0.0
CFAP20#5.6989727#0.5000021#0.0
LY6D#5.6989727#0.5000021#0.0
TEX13D#5.6989727#0.50000197#0.0
TGIF2-C20orf24#5.6989727#0.5000021#0.0
UBL4A#5.6989727#0.5000021#0.0
MAGEB5#5.6989727#0.50000185#0.0
ZNF664-RFLNA#5.6989727#0.5000022#0.0
RFLNA#5.6989727#0.5000022#0.0
FAM86B1#5.6989727#0.5000022#0.0
DIRAS2#5.6989727#0.50000215#0.0
ECSCR#5.6989727#0.50000215#0.0
HPF1#5.6989727#0.50000226#0.0
LAMTOR2#5.6989727#0.50000226#0.0
PCBP2#5.6989727#0.5000022#0.0
SIVA1#5.6989727#0.5000018#0.0
WFDC11#5.6989727#0.50000197#0.0
IGSF23#5.6989727#0.50000197#0.0
CCL11#5.6989727#0.50000197#0.0
TSPAN14#5.6989727#0.5000023#0.0
MYCT1#5.6989727#0.50000197#0.0
KRTCAP3#5.6989727#0.50000197#0.0
ITGB3BP#5.6989727#0.5000021#0.0
CLNS1A#5.6989727#0.5000022#0.0
CHIC2#5.6989727#0.5000022#0.0
HYPK#5.6989727#0.5000021#0.0
SPAG11B#5.6989727#0.5000019#0.0
TMEM265#5.6989727#0.5000019#0.0
LOC104968399#5.6989727#0.5000019#0.0
SRF#5.6989727#0.5000019#0.0
TOB2#5.6989727#0.5000019#0.0
NLRP2B#5.6989727#0.5000021#0.0
