#TV#TV_pos#TV_nag
NUP62CL#5.6989965#0.5000297#0.0
CENPM#5.6989956#0.50002867#0.0
DNAJB4#5.6989956#0.5000284#0.0
UBE2E3#5.6989827#0.50001353#0.0
PPP2R2A#5.698978#0.500008#0.0
ACOT1#5.698978#0.500008#0.0
COA3#5.698978#0.500008#0.0
AIG1#5.6989775#0.50000733#0.0
MED18#5.6989775#0.50000757#0.0
PCYT1B#5.6989775#0.5000077#0.0
ACBD7#5.6989775#0.50000757#0.0
SUCLA2#5.698977#0.5000072#0.0
RNF227#5.698977#0.50000685#0.0
BCL2A1#5.698977#0.5000072#0.0
DYNLT1#5.698977#0.500007#0.0
EMC4#5.698977#0.500007#0.0
GRAP#5.698977#0.5000071#0.0
GOLGA8J#5.698977#0.500007#0.0
OR5V1#5.698977#0.50000715#0.0
GOLGA8R#5.698977#0.500007#0.0
SLC25A51#5.698977#0.50000685#0.0
BCL2L15#5.698977#0.5000071#0.0
FBXL14#5.698977#0.50000685#0.0
C1orf43#5.698977#0.50000715#0.0
TMEM56-RWDD3#5.698977#0.50000685#0.0
MRPL35#5.698977#0.50000685#0.0
RGPD6#5.698977#0.50000685#0.0
UBE2B#5.698977#0.50000703#0.0
PLAC8#5.698977#0.50000685#0.0
RBPMS2#5.698977#0.5000072#0.0
REEP2#5.6989765#0.50000656#0.0
CTNNBIP1#5.6989765#0.5000067#0.0
CFP#5.6989765#0.50000674#0.0
COPS2#5.6989765#0.50000656#0.0
ABHD17C#5.6989765#0.5000067#0.0
TRAPPC3#5.6989765#0.50000674#0.0
ACOT6#5.6989765#0.50000656#0.0
