#ebstain#ebstain_pos#ebstain_nag
C5orf24#5.6990128#0.50004804#0.0
C12orf76#5.6990128#0.50004804#0.0
TRIM31#5.6990128#0.50004804#0.0
COPS5#5.6990128#0.50004816#0.0
CDK1#5.6990128#0.50004816#0.0
RAMMET#5.6990128#0.50004816#0.0
CSF3#5.6990123#0.50004756#0.0
ZDHHC9#5.6990123#0.50004756#0.0
C1orf43#5.699012#0.5000474#0.0
OR5V1#5.699012#0.5000474#0.0
C5orf66#5.699011#0.50004625#0.0
PFDN2#5.699011#0.50004625#0.0
RAB1B#5.699011#0.50004625#0.0
NDUFB3#5.6990104#0.50004554#0.0
CDPF1#5.6990104#0.50004536#0.0
MZF1-AS1#5.6990104#0.50004536#0.0
JAM2#5.6990104#0.50004554#0.0
C1orf21#5.6990104#0.50004554#0.0
CYP21A2#5.6990104#0.5000454#0.0
