#COA-IVS#COA-IVS_pos#COA-IVS_nag
KCNA2#5.699007#0.5000415#0.0
TSPAN6#5.699007#0.5000415#0.0
HIST1H2BK#5.699004#0.50003815#0.0
TBPL1#5.699004#0.5000382#0.0
FOSB#5.699003#0.500037#0.0
GREM2#5.699003#0.500037#0.0
PURB#5.6990027#0.5000369#0.0
NSG2#5.6990023#0.5000359#0.0
GP1BB#5.6990023#0.5000359#0.0
ADIPOQ-AS1#5.6990023#0.5000359#0.0
DPPA2#5.699002#0.5000357#0.0
FAM19A1#5.699002#0.5000357#0.0
SMIM19#5.699001#0.50003463#0.0
HIST1H2BN#5.699001#0.50003463#0.0
