#PA-vsd#PA-vsd_pos#PA-vsd_nag
LLPH#5.6989903#0.5000226#0.0
DRG2#5.69899#0.50002164#0.0
GTF2H5#5.69899#0.50002164#0.0
EXOSC1#5.69899#0.50002164#0.0
BTF3L4#5.6989894#0.50002104#0.0
CLNS1A#5.6989894#0.5000214#0.0
BBIP1#5.6989894#0.5000211#0.0
HIGD2A#5.6989894#0.5000215#0.0
ABRACL#5.6989894#0.5000215#0.0
MYOD1#5.6989894#0.5000213#0.0
ZFY#5.6989894#0.5000215#0.0
LYN#5.6989894#0.5000213#0.0
PSMA2#5.6989894#0.50002134#0.0
CHIC2#5.6989894#0.5000214#0.0
C8orf44#5.6989894#0.50002104#0.0
SOD1#5.6989894#0.50002104#0.0
FMC1#5.698989#0.5000206#0.0
RETN#5.698989#0.50002056#0.0
CXCL5#5.698989#0.5000207#0.0
PPCS#5.698989#0.5000206#0.0
TP53INP1#5.698989#0.50002074#0.0
NCK2#5.698989#0.50002074#0.0
RHBDL3#5.698989#0.5000207#0.0
ESRRG#5.698989#0.5000206#0.0
PLEKHF2#5.698989#0.5000206#0.0
ACTR3B#5.6989884#0.50002027#0.0
ATF1#5.6989884#0.50002027#0.0
RPS4X#5.6989884#0.50002027#0.0
HIST1H4E#5.6989884#0.50002027#0.0
